id,document,summary
1,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
2,Artificial intelligence is transforming the tech industry.,AI is changing tech.
3,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
4,Machine learning is a subset of artificial intelligence.,ML is part of AI.
5,John went to the store to buy some groceries.,John bought groceries.
6,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
7,Artificial intelligence is transforming the tech industry.,AI is changing tech.
8,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
9,Machine learning is a subset of artificial intelligence.,ML is part of AI.
10,John went to the store to buy some groceries.,John bought groceries.
11,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
12,Artificial intelligence is transforming the tech industry.,AI is changing tech.
13,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
14,Machine learning is a subset of artificial intelligence.,ML is part of AI.
15,John went to the store to buy some groceries.,John bought groceries.
16,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
17,Artificial intelligence is transforming the tech industry.,AI is changing tech.
18,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
19,Machine learning is a subset of artificial intelligence.,ML is part of AI.
20,John went to the store to buy some groceries.,John bought groceries.
21,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
22,Artificial intelligence is transforming the tech industry.,AI is changing tech.
23,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
24,Machine learning is a subset of artificial intelligence.,ML is part of AI.
25,John went to the store to buy some groceries.,John bought groceries.
26,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
27,Artificial intelligence is transforming the tech industry.,AI is changing tech.
28,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
29,Machine learning is a subset of artificial intelligence.,ML is part of AI.
30,John went to the store to buy some groceries.,John bought groceries.
31,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
32,Artificial intelligence is transforming the tech industry.,AI is changing tech.
33,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
34,Machine learning is a subset of artificial intelligence.,ML is part of AI.
35,John went to the store to buy some groceries.,John bought groceries.
36,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
37,Artificial intelligence is transforming the tech industry.,AI is changing tech.
38,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
39,Machine learning is a subset of artificial intelligence.,ML is part of AI.
40,John went to the store to buy some groceries.,John bought groceries.
41,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
42,Artificial intelligence is transforming the tech industry.,AI is changing tech.
43,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
44,Machine learning is a subset of artificial intelligence.,ML is part of AI.
45,John went to the store to buy some groceries.,John bought groceries.
46,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
47,Artificial intelligence is transforming the tech industry.,AI is changing tech.
48,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
49,Machine learning is a subset of artificial intelligence.,ML is part of AI.
50,John went to the store to buy some groceries.,John bought groceries.
51,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
52,Artificial intelligence is transforming the tech industry.,AI is changing tech.
53,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
54,Machine learning is a subset of artificial intelligence.,ML is part of AI.
55,John went to the store to buy some groceries.,John bought groceries.
56,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
57,Artificial intelligence is transforming the tech industry.,AI is changing tech.
58,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
59,Machine learning is a subset of artificial intelligence.,ML is part of AI.
60,John went to the store to buy some groceries.,John bought groceries.
61,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
62,Artificial intelligence is transforming the tech industry.,AI is changing tech.
63,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
64,Machine learning is a subset of artificial intelligence.,ML is part of AI.
65,John went to the store to buy some groceries.,John bought groceries.
66,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
67,Artificial intelligence is transforming the tech industry.,AI is changing tech.
68,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
69,Machine learning is a subset of artificial intelligence.,ML is part of AI.
70,John went to the store to buy some groceries.,John bought groceries.
71,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
72,Artificial intelligence is transforming the tech industry.,AI is changing tech.
73,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
74,Machine learning is a subset of artificial intelligence.,ML is part of AI.
75,John went to the store to buy some groceries.,John bought groceries.
76,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
77,Artificial intelligence is transforming the tech industry.,AI is changing tech.
78,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
79,Machine learning is a subset of artificial intelligence.,ML is part of AI.
80,John went to the store to buy some groceries.,John bought groceries.
81,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
82,Artificial intelligence is transforming the tech industry.,AI is changing tech.
83,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
84,Machine learning is a subset of artificial intelligence.,ML is part of AI.
85,John went to the store to buy some groceries.,John bought groceries.
86,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
87,Artificial intelligence is transforming the tech industry.,AI is changing tech.
88,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
89,Machine learning is a subset of artificial intelligence.,ML is part of AI.
90,John went to the store to buy some groceries.,John bought groceries.
91,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
92,Artificial intelligence is transforming the tech industry.,AI is changing tech.
93,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
94,Machine learning is a subset of artificial intelligence.,ML is part of AI.
95,John went to the store to buy some groceries.,John bought groceries.
96,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
97,Artificial intelligence is transforming the tech industry.,AI is changing tech.
98,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
